category,title,sub_title,Engine Power,Bucket Capacity,Digging Depth,Operating Weight
Crawler Excavators,Standard Crawler Excavators,PC170LC-11,90/121 kW/HP,"0,94 m³","6,25 m","18,3-21,5 t."
Crawler Excavators,Standard Crawler Excavators,PC210/LC/NLC-11,123/165 kW/HP,"1,68 m³","6,62 m","22,1-23,6 t."
Crawler Excavators,Standard Crawler Excavators,PC230NHD-11,123/165 kW/HP,"1,45 m³","6,47 m","23,5 t."
Crawler Excavators,Standard Crawler Excavators,PC240LC/NLC-11,141/189 kW/HP,"1,89 m³","7,32 m","24,7-27,5 t."
Crawler Excavators,Standard Crawler Excavators,PC290LC/NLC-11,159/213 kW/HP,"2,02 m³","7,22 m","29,9-30,9 t."
Crawler Excavators,Standard Crawler Excavators,PC360LC/NLC-11,202/271 kW/HP,"2,66 m³","8,18 m","35,8-36,9 t."
Crawler Excavators,Standard Crawler Excavators,PC490/LC-11,270/362 kW/HP,"3,5 m³","9,19 m","46,5-48,9 t."
Crawler Excavators,Standard Crawler Excavators,PC700LC-11,327/439 kW/HP,"5,58 m³",,"66,1-69,5 t."
Crawler Excavators,Standard Crawler Excavators,PC1250-11,578/775 kW/HP,"6,7 m³","11,59 m","115,9-118,3 t."
Crawler Excavators,Intelligent Machine Control,PC210LCi-11,123/165 kW/HP,"1,68 m³","6,62 m","22,12-23,58 t."
Crawler Excavators,Intelligent Machine Control,PC290LCi/NLCi-11,159/213 kW/HP,"2,02 m³","6,82 m","28,95-30,95 t."
Crawler Excavators,Intelligent Machine Control,PC360LCi/NLCi-11,202/271 kW/HP,"2,66 m³","7,28 m","35,6-36,2 t."
Crawler Excavators,Hybrid Crawler Excavators,HB365LC/NLC-3 Hybrid,202/271 kW/HP,"2,66 m³","8,18 m","36,4-37,4 t."
Crawler Excavators,Short Tail Swing Crawler Excavators,PC138US-11,"72,6/97,3 kW/HP","0,72 m³","5,9 m","14,1-15,8 t."
Crawler Excavators,Short Tail Swing Crawler Excavators,PC228USLC-11,123/165 kW/HP,"1,49 m³","6,62 m","24,35-27,925 t."
Crawler Excavators,Demolition Crawler Excavators,Mono/Straight Boom Demolition,270/362 kW/HP,"7,75 m³","6,62 m","23,3-48,5 t."
Crawler Excavators,Demolition Crawler Excavators,PC390HRD-11,202/271 kW/HP,,,"45,76-61,8 t."
Crawler Excavators,Demolition Crawler Excavators,PC490HRD-11,270/362 kW/HP,,,"55,2-73,4 t."
Crawler Excavators,Super Long Front Crawler Excavators,Excavator Range SLF/LR,202/271 kW/HP,"0,51-1,1 m³","11,8 m","23,2-42,3 t."
