category,sub_title,Engine Power,Bucket Capacity,Digging Depth,Operating Weight
Mini Excavators,PC09-1,"6,8/9,1 kW/HP","0,016-0,025 m³","1,47 m","0,88-1,08 t."
Mini Excavators,PC16R-3,"11,6/15,6 kW/HP","0,03-0,06 m³","2,41 m","1,57-1,92 t."
Mini Excavators,PC17R-5,"11,8/15,8 kW/HP","0,022-0,028 m³",,"1,755-1,835 t."
Mini Excavators,PC18MR-5,"11,8/15,8 kW/HP","0,03-0,06 m³",,"1,9 t."
Mini Excavators,PC20R-5,"11,8/15,8 kW/HP","0,02-0,03 m³",,"1,985-2,04 t."
Mini Excavators,PC24MR-5,"15,8/21,2 kW/HP","0,035-0,085 m³",,"2,34-2,56 t."
Mini Excavators,PC26MR-5,"15,8/21,2 kW/HP","0,035-0,085 m³",,"2,625-2,855 t."
Mini Excavators,PC30MR-5,"18,2/24,4 kW/HP","0,03-0,1 m³","3,13 m","3,29 t."
Mini Excavators,PC35MR-5,"18,2/24,4 kW/HP","0,04-0,12 m³","3,455 m","3,725 t."
Mini Excavators,PC45MR-5,"29,1/39 kW/HP","0,055-0,16 m³","3,705 m","4,93 t."
Mini Excavators,PC55MR-5,"29,1/39 kW/HP","0,16-0,18 m³","4,13 m","5,26 t."
Mini Excavators,PC58MR-5,"29,1/39 kW/HP","0,055-0,18 m³","4,13 m","5,64 t."
